"","Lasioglossum (Homalictus) ostridorsum","Lasioglossum (Homalictus) atritergus","Lasioglossum (Homalictus) fijiense","Lasioglossum (Homalictus) hadrander","Lasioglossum (Homalictus) tuiwawae","Lasioglossum (Homalictus) concavus","Lasioglossum (Homalictus) kaicolo","Lasioglossum (Homalictus) nadarivatu","Lasioglossum (Homalictus) sp. S","Lasioglossum (Homalictus) terminalis","Lasioglossum (Homalictus) sp. G","Lasioglossum (Homalictus) sp. T","Lasioglossum (Homalictus) sp. U","Lasioglossum (Homalictus) sp. X","Lasioglossum (Homalictus) sp. V","Lasioglossum (Homalictus) sp. O","Lasioglossum (Homalictus) groomi","Lasioglossum (Homalictus) taveuni"
"Lasioglossum (Homalictus) ostridorsum",NA,0.055,0.186,0.112,0.094,0.212,0.154,0.161,0.112,0.101,-0.004,0.073,0.101,0.067,0.018,0.432,0.19,0.41
"Lasioglossum (Homalictus) atritergus",0.055,NA,0.35,0.271,0.234,0.383,0.191,0.332,0.228,0.254,0.124,0.12,0.172,0.169,0.101,0.626,0.359,0.611
"Lasioglossum (Homalictus) fijiense",0.186,0.35,NA,0.024,0.132,-0.01,0.327,-0.022,0.086,0.055,0.058,0.251,0.268,0.183,0.138,0.087,0.052,0.038
"Lasioglossum (Homalictus) hadrander",0.112,0.271,0.024,NA,0.098,0.027,0.254,0.022,0.053,0.015,-0.034,0.183,0.208,0.132,0.059,0.143,0.065,0.122
"Lasioglossum (Homalictus) tuiwawae",0.094,0.234,0.132,0.098,NA,0.171,0.167,0.069,0.102,0.048,-0.071,0.071,0.08,0.038,-0.024,0.388,0.092,0.363
"Lasioglossum (Homalictus) concavus",0.212,0.383,-0.01,0.027,0.171,NA,0.36,-0.041,0.094,0.074,0.111,0.278,0.303,0.211,0.175,0.051,0.076,0.024
"Lasioglossum (Homalictus) kaicolo",0.154,0.191,0.327,0.254,0.167,0.36,NA,0.295,0.156,0.232,-0.046,-0.053,0.005,0.089,-0.061,0.581,0.32,0.553
"Lasioglossum (Homalictus) nadarivatu",0.161,0.332,-0.022,0.022,0.069,-0.041,0.295,NA,0.063,0.032,0.024,0.193,0.212,0.128,0.088,0.128,0.042,0.079
"Lasioglossum (Homalictus) sp. S",0.112,0.228,0.086,0.053,0.102,0.094,0.156,0.063,NA,0.053,-0.032,0.108,0.139,0.098,0.017,0.242,0.119,0.21
"Lasioglossum (Homalictus) terminalis",0.101,0.254,0.055,0.015,0.048,0.074,0.232,0.032,0.053,NA,-0.138,0.151,0.165,0.089,0.016,0.274,0.063,0.238
"Lasioglossum (Homalictus) sp. G",-0.004,0.124,0.058,-0.034,-0.071,0.111,-0.046,0.024,-0.032,-0.138,NA,-0.058,-0.026,-0.042,-0.225,0.319,0.039,0.278
"Lasioglossum (Homalictus) sp. T",0.073,0.12,0.251,0.183,0.071,0.278,-0.053,0.193,0.108,0.151,-0.058,NA,-0.06,-0.025,-0.124,0.528,0.255,0.51
"Lasioglossum (Homalictus) sp. U",0.101,0.172,0.268,0.208,0.08,0.303,0.005,0.212,0.139,0.165,-0.026,-0.06,NA,0.016,-0.077,0.533,0.259,0.513
"Lasioglossum (Homalictus) sp. X",0.067,0.169,0.183,0.132,0.038,0.211,0.089,0.128,0.098,0.089,-0.042,-0.025,0.016,NA,-0.07,0.455,0.186,0.435
"Lasioglossum (Homalictus) sp. V",0.018,0.101,0.138,0.059,-0.024,0.175,-0.061,0.088,0.017,0.016,-0.225,-0.124,-0.077,-0.07,NA,0.401,0.132,0.372
"Lasioglossum (Homalictus) sp. O",0.432,0.626,0.087,0.143,0.388,0.051,0.581,0.128,0.242,0.274,0.319,0.528,0.533,0.455,0.401,NA,0.244,0.466
"Lasioglossum (Homalictus) groomi",0.19,0.359,0.052,0.065,0.092,0.076,0.32,0.042,0.119,0.063,0.039,0.255,0.259,0.186,0.132,0.244,NA,0.203
"Lasioglossum (Homalictus) taveuni",0.41,0.611,0.038,0.122,0.363,0.024,0.553,0.079,0.21,0.238,0.278,0.51,0.513,0.435,0.372,0.466,0.203,NA
